Sl. No,Timestamp,Cell id,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12
17,1657875524,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
18,1657875525,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
19,1657875526,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
0,1657875552,T12,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
1,1657875553,T12,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
2,1657875554,T12,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
3,1657875555,T12,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
4,1657875556,T12,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
5,1657875557,T12,-77,-77,-110,-110,-81,-110,-110,-110,-110,-95,-110,-110
6,1657875558,T12,-77,-77,-110,-110,-81,-110,-110,-110,-110,-95,-110,-110
7,1657875559,T12,-77,-77,-110,-110,-81,-110,-110,-110,-110,-95,-110,-110
8,1657875560,T12,-77,-77,-110,-110,-81,-110,-110,-110,-110,-95,-110,-110
9,1657875561,T12,-77,-77,-110,-110,-81,-110,-110,-110,-110,-95,-110,-110
10,1657875562,T12,-110,-65,-110,-84,-84,-110,-110,-110,-110,-110,-110,-110
11,1657875563,T12,-110,-65,-110,-84,-84,-110,-110,-110,-110,-110,-110,-110
12,1657875564,T12,-110,-65,-110,-84,-84,-110,-110,-110,-110,-110,-110,-110
13,1657875565,T12,-110,-65,-110,-84,-84,-110,-110,-110,-110,-110,-110,-110
14,1657875566,T12,-110,-65,-110,-84,-84,-110,-110,-110,-110,-110,-110,-110
15,1657875567,T12,-110,-65,-110,-84,-84,-110,-110,-110,-110,-110,-110,-110
16,1657875568,T12,-110,-65,-110,-84,-84,-110,-110,-110,-110,-110,-110,-110
17,1657875569,T12,-110,-65,-110,-84,-84,-110,-110,-110,-110,-110,-110,-110
18,1657875570,T12,-110,-65,-110,-84,-84,-110,-110,-110,-110,-110,-110,-110
