Sl. No,Timestamp,Cell id,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,bc:22:28:40:8a:bc,e0:89:9d:ff:04:00,e0:89:9d:ff:04:01,10:62:eb:18:c4:b5,e0:89:9d:ff:04:0e,e0:89:9d:ff:04:0f,a6:0a:f7:eb:d2:bd,c0:5b:02:1d:00:65,36:e3:62:9c:0a:38,da:cc:e0:68:09:8c,90:8d:78:5d:7c:08,da:81:11:df:26:35
3,1657875547,T4,-71,-80,-110,-74,-89,-82,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
4,1657875548,T4,-71,-80,-110,-74,-89,-82,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875549,T4,-71,-80,-110,-74,-89,-82,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
6,1657875550,T4,-69,-82,-110,-83,-86,-110,-110,-110,-110,-110,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
7,1657875551,T4,-69,-82,-110,-83,-86,-110,-110,-110,-110,-110,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
8,1657875552,T4,-68,-74,-84,-79,-110,-110,-93,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
9,1657875553,T4,-68,-74,-84,-79,-110,-110,-93,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
0,1657875604,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
1,1657875605,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
2,1657875606,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
3,1657875607,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
4,1657875608,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875609,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
6,1657875610,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
7,1657875611,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
8,1657875612,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
9,1657875613,T5,-62,-81,-110,-73,-86,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
0,1657875635,T6,-59,-77,-110,-72,-110,-88,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
1,1657875636,T6,-59,-77,-110,-72,-110,-88,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
2,1657875637,T6,-59,-77,-110,-72,-110,-88,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
3,1657875638,T6,-59,-77,-110,-72,-110,-88,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
4,1657875639,T6,-59,-77,-110,-72,-110,-88,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875640,T6,-59,-77,-110,-72,-110,-88,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
6,1657875641,T6,-59,-77,-110,-72,-110,-88,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
7,1657875642,T6,-63,-79,-110,-66,-110,-79,-110,-78,-110,-110,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
8,1657875643,T6,-63,-79,-110,-66,-110,-79,-110,-78,-110,-110,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
9,1657875644,T6,-63,-79,-110,-66,-110,-79,-110,-78,-110,-110,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
0,1657875660,T7,-63,-79,-110,-66,-110,-79,-110,-78,-110,-110,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
1,1657875661,T7,-63,-79,-110,-66,-110,-79,-110,-78,-110,-110,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
2,1657875662,T7,-61,-110,-76,-72,-86,-76,-110,-110,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
3,1657875663,T7,-61,-110,-76,-72,-86,-76,-110,-110,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
4,1657875664,T7,-61,-110,-76,-72,-86,-76,-110,-110,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875665,T7,-61,-110,-76,-72,-86,-76,-110,-110,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
6,1657875666,T7,-61,-110,-76,-72,-86,-76,-110,-110,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
7,1657875667,T7,-61,-110,-76,-72,-86,-76,-110,-110,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
0,1657875686,T8,-69,-110,-110,-110,-110,-77,-110,-110,-110,-110,-110,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
